"PCD_file";"x";"y";"z"
"../data/point_clouds/10_deg/4_10deg_filteredfiltered.pcd";-10.0989;1.14708;0
"../data/point_clouds/10_deg/23_10deg_filteredfiltered.pcd";-10.022;1.55589;0
"../data/point_clouds/10_deg/19_10deg_filteredfiltered.pcd";-9.92686;1.54123;0
"../data/point_clouds/10_deg/2_10deg_filteredfiltered.pcd";-9.94751;1.21933;0
"../data/point_clouds/10_deg/13_10deg_filteredfiltered.pcd";-9.47263;1.48697;0
"../data/point_clouds/10_deg/5_10deg_filteredfiltered.pcd";-9.92006;1.38196;0
"../data/point_clouds/10_deg/6_10deg_filteredfiltered.pcd";-9.53813;1.31891;0
"../data/point_clouds/10_deg/9_10deg_filteredfiltered.pcd";-9.53447;1.38979;0
"../data/point_clouds/10_deg/3_10deg_filteredfiltered.pcd";-9.87599;1.34486;0
"../data/point_clouds/10_deg/1_10deg_filteredfiltered.pcd";-9.54671;1.12555;0
"../data/point_clouds/10_deg/10_10deg_filteredfiltered.pcd";-9.54626;1.27351;0
"../data/point_clouds/10_deg/8_10deg_filteredfiltered.pcd";-9.57327;1.60493;0
"../data/point_clouds/10_deg/11_10deg_filteredfiltered.pcd";-9.65712;1.21124;0
"../data/point_clouds/10_deg/7_10deg_filteredfiltered.pcd";-10.1161;1.44611;0
"../data/point_clouds/10_deg/16_10deg_filteredfiltered.pcd";-9.9384;1.25056;0
"../data/point_clouds/10_deg/18_10deg_filteredfiltered.pcd";-9.65778;1.31436;0
"../data/point_clouds/10_deg/17_10deg_filteredfiltered.pcd";-9.51953;1.49332;0
"../data/point_clouds/10_deg/14_10deg_filteredfiltered.pcd";-9.6748;1.3085;0
"../data/point_clouds/10_deg/12_10deg_filteredfiltered.pcd";-9.72289;1.26978;0
"../data/point_clouds/10_deg/24_10deg_filteredfiltered.pcd";-9.47253;1.45129;0
"../data/point_clouds/10_deg/22_10deg_filteredfiltered.pcd";-10.0813;1.39442;0
"../data/point_clouds/10_deg/20_10deg_filteredfiltered.pcd";-9.23532;1.2131;0
"../data/point_clouds/10_deg/15_10deg_filteredfiltered.pcd";-9.49452;1.32207;0
"../data/point_clouds/10_deg/21_10deg_filteredfiltered.pcd";-9.25793;1.43039;0
"../data/point_clouds/10_deg/25_10deg_filteredfiltered.pcd";-9.5813;1.59813;0
