"PCD File";"Estimated Angle"
"../../point_clouds/5_deg/1678702469488289_5deg_filtered.pcd";5.23735
"../../point_clouds/5_deg/1678702468421392_5deg_filtered.pcd";5.49957
"../../point_clouds/5_deg/1678702469855034_5deg_filtered.pcd";5.65693
"../../point_clouds/5_deg/1678702467887943_5deg_filtered.pcd";5.15522
"../../point_clouds/5_deg/1678702470588536_5deg_filtered.pcd";5.03863
"../../point_clouds/5_deg/1678702470221784_5deg_filtered.pcd";5.05016
"../../point_clouds/5_deg/1678702467154458_5deg_filtered.pcd";5.14365
"../../point_clouds/5_deg/1678702467654562_5deg_filtered.pcd";5.34537
"../../point_clouds/5_deg/1678702469154883_5deg_filtered.pcd";5.25054
"../../point_clouds/5_deg/1678702467521201_5deg_filtered.pcd";5.35778
"../../point_clouds/5_deg/1678702469288246_5deg_filtered.pcd";5.40229
"../../point_clouds/5_deg/1678702468954841_5deg_filtered.pcd";5.03598
"../../point_clouds/5_deg/1678702468588095_5deg_filtered.pcd";4.76247
"../../point_clouds/5_deg/1678702468021305_5deg_filtered.pcd";5.23278
"../../point_clouds/5_deg/1678702468254690_5deg_filtered.pcd";5.40222
"../../point_clouds/5_deg/1678702468788138_5deg_filtered.pcd";5.07022
